COD_INE;ID_REL;COD_GEO;COD_PROV;PROVINCIA;NOMBRE_ACTUAL;POBLACION_MUNI;SUPERFICIE;PERIMETRO;COD_INE_CAPITAL;CAPITAL;POBLACION_CAPITAL;HOJA_MTN25;LONGITUD_ETRS89_REGCAN95;LATITUD_ETRS89_REGCAN95;ORIGENCOOR;ALTITUD;ORIGENALTITUD
02075000000;1020753;02740;02;Albacete;Valdeganga;1985;7065,62;42767;02075000102;Valdeganga;1960;0766-2;-1,676545178;39,13615464;Detección automática;666;MDT
02076000000;1020766;02750;02;Albacete;Vianos;318;12805,18;91539;02076000102;Vianos;312;0841-1;-2,499809493;38,63304195;Detección automática;1116;MDT
02077000000;1020772;02760;02;Albacete;Villa de Ves;50;5775,64;37832;02077000101;Villa de Ves;38;0744-4;-1,260678668;39,22277759;Detección automática;743;MDT
02078000000;1020788;02770;02;Albacete;Villalgordo del Júcar;1177;4668,4938;32688;02078000101;Villalgordo del Júcar;1156;0742-1;-2,063038189;39,29584098;Detección automática;683;MDT
02079000000;1020791;02780;02;Albacete;Villamalea;4072;12832,89;63758;02079000103;Villamalea;4063;0718-4;-1,598507435;39,36163041;Detección automática;739;MDT
02080000000;1020805;02790;02;Albacete;Villapalacios;543;8747,7445;41446;02080000101;Villapalacios;542;0840-4;-2,63465416;38,57484002;Detección automática;837;MDT
02081000000;1020812;02800;02;Albacete;Villarrobledo;25418;86239,48;141054;02081000301;Villarrobledo;24801;0740-2;-2,60438292;39,26441873;Detección automática;724;MDT
02082000000;1020827;02810;02;Albacete;Villatoya;114;1867,36;21565;02082000201;Villatoya;76;0744-2;-1,33840296;39,333698;Detección automática;407;MDT
02083000000;1020833;02820;02;Albacete;Villavaliente;191;3484,1712;30502;02083000101;Villavaliente;191;0767-1;-1,458065191;39,12526307;Detección automática;726;MDT
02084000000;1020848;02830;02;Albacete;Villaverde de Guadalimar;326;6928,96;39791;02084000501;Villaverde de Guadalimar;206;0866-1;-2,518480636;38,456169;Investigación;799;Investigación
02085000000;1020851;02840;02;Albacete;Viveros;294;6536,6666;45479;02085000101;Viveros;294;0814-2;-2,575466064;38,77374417;Detección automática;1008;MDT
02086000000;1020864;02850;02;Albacete;Yeste;2482;51319,45;125202;02086001401;Yeste;1429;0866-4;-2,31896;38,3668;Investigación;878;En estudio
02901000000;1029010;02615;02;Albacete;Pozo Cañada;2710;11683,38;69208;02901000101;Pozo Cañada;2682;0817-1;-1,733102562;38,80375242;Detección automática;802;MDT
03001000000;1030015;03005;03;Alacant/Alicante;l'Atzúbia;601;1466,9574;18376;03001000101;l'Atzúbia;342;0796-3;-0,150968198;38,84749036;Detección automática;97;MDT
03002000000;1030020;03010;03;Alacant/Alicante;Agost;5224;6663,5352;40007;03002000101;Agost;4138;0871-2;-0,638549507;38,43926835;Detección automática;325;MDT
03003000000;1030036;03015;03;Alacant/Alicante;Agres;625;2583,659;20529;03003000101;Agres;471;0821-1;-0,515475195;38,77999725;Detección automática;720;MDT
03004000000;1030041;03020;03;Alacant/Alicante;Aigües;1187;1847,2816;20622;03004000101;Aigües;711;0872-1;-0,363906901;38,50044242;Detección automática;330;MDT
03005000000;1030054;03025;03;Alacant/Alicante;Albatera;13476;6187,71;35312;03005000101;Albatera;12317;0892-4;-0,869139957;38,1782536;Detección automática;14;MDT
03006000000;1030067;03030;03;Alacant/Alicante;Alcalalí;1405;1438,43;21810;03006000101;Alcalalí;412;0822-1,0822-3;-0,041028409;38,74956142;Detección automática;226;MDT
03007000000;1030073;03035;03;Alacant/Alicante;Alcosser;263;438,7155;9164;03007000101;Alcosser;132;0821-1;-0,402548268;38,79500232;Detección automática;352;MDT
03008000000;1030089;03040;03;Alacant/Alicante;Alcoleja;186;1455,8836;19193;03008000101;Alcoleja;163;0821-4;-0,330977622;38,67482449;Detección automática;739;MDT
03009000000;1030092;03045;03;Alacant/Alicante;Alcoi/Alcoy;61613;12995,53;58840;03009000101;Alcoi/Alcoy;59687;0821-3;-0,473163128;38,69764173;Investigación;564;Investigación
03010000000;1030106;03050;03;Alacant/Alicante;Alfafara;417;1977,7677;18603;03010000101;Alfafara;378;0820-2;-0,555594302;38,77300983;Detección automática;580;MDT
03011000000;1030113;03055;03;Alacant/Alicante;l'Alfàs del Pi;21046;1925,9507;20927;03011000102;l'Alfàs del Pi;5468;0848-3;-0,101819775;38,57965958;Detección automática;86;MDT
